State,Pct High school graduate,Pct Bachelor degree,Pct Advanced degree
North Carolina,0.858,0.2842,0.099
Florida,0.8687,0.273,0.09796
Ohio,0.891,0.261,0.09705
Nebraska,0.9067,0.293,0.09705
Montana,0.928,0.295,0.095
Wisconsin,0.91,0.278,0.094
Illinois,0.819,0.276,0.094
South Carolina,0.8564,0.258,0.09296
Kentucky,0.842,0.223,0.09204
Tennessee,0.855,0.249,0.09
Indiana,0.878,0.241,0.08704
Alabama,0.8433,0.235,0.08704
Wyoming,0.9233,0.257,0.086
Iowa,0.915,0.267,0.085
Idaho,0.895,0.259,0.08203
South Dakota,0.9087,0.27,0.08
Oklahoma,0.8687,0.241,0.08
Nevada,0.851,0.23,0.079
Mississippi,0.823,0.207,0.07697
Louisiana,0.834,0.225,0.07697
North Dakota,0.917,0.277,0.076
Arkansas,0.848,0.2109,0.075
West Virginia,0.85,0.192,0.074
District of Columbia,0.893,0.546,0.313
Massachusetts,0.898,0.405,0.177
Maryland,0.8936,0.3792,0.173
Connecticut,0.899,0.376,0.1659
Virginia,0.8833,0.363,0.1539
New York,0.8564,0.3418,0.148
Vermont,0.918,0.36,0.143
New Jersey,0.886,0.3682,0.14
Colorado,0.9067,0.3809,0.14
New Hampshire,0.92,0.349,0.13
Rhode Island,0.862,0.319,0.1279
Texas,0.879,0.3232,0.12396
Delaware,0.884,0.3,0.122
Washington,0.904,0.329,0.12
California,0.7983,0.314,0.116
Oregon,0.898,0.3079,0.115
New Mexico,0.842,0.263,0.115
Pennsylvania,0.892,0.286,0.11206
Minnesota,0.924,0.337,0.11206
Kansas,0.902,0.31,0.11
Georgia,0.8535,0.288,0.10706
Michigan,0.8965,0.269,0.105
Hawaii,0.91,0.3079,0.105
Utah,0.912,0.311,0.104
Maine,0.916,0.29,0.10297
Missouri,0.884,0.271,0.10205
Arizona,0.86,0.275,0.10205
Alaska,0.9214,0.28,0.101
